573.0,388.0,523.0,365.0,-1.0,-1.0,596.0,388.0,618.0,455.0,618.0,523.0,590.0,483.0,523.0,500.0,613.0,528.0,545.0,371.0,528.0,438.0,483.0,433.0,545.0,461.0,461.0,438.0,506.0,523.0,-5.0,-5.0,523.0,348.0,-5.0,-5.0,545.0,348.0
590.0,371.0,545.0,365.0,-1.0,-1.0,613.0,388.0,635.0,461.0,618.0,523.0,590.0,483.0,523.0,500.0,478.0,500.0,568.0,365.0,545.0,433.0,-5.0,-5.0,551.0,455.0,478.0,438.0,500.0,523.0,-5.0,-5.0,545.0,348.0,-5.0,-5.0,568.0,343.0
596.0,371.0,551.0,365.0,-1.0,-1.0,618.0,388.0,635.0,461.0,613.0,523.0,590.0,483.0,523.0,483.0,478.0,500.0,590.0,365.0,568.0,433.0,-5.0,-5.0,551.0,455.0,478.0,433.0,506.0,523.0,-5.0,-5.0,551.0,348.0,-5.0,-5.0,573.0,348.0
613.0,371.0,568.0,348.0,-1.0,-1.0,618.0,388.0,635.0,461.0,613.0,523.0,590.0,483.0,523.0,478.0,483.0,483.0,590.0,365.0,573.0,433.0,-5.0,-5.0,568.0,455.0,483.0,416.0,500.0,500.0,551.0,343.0,-5.0,-5.0,-5.0,-5.0,590.0,343.0
613.0,371.0,568.0,348.0,-1.0,-1.0,618.0,388.0,635.0,461.0,590.0,523.0,590.0,483.0,523.0,483.0,500.0,500.0,590.0,365.0,573.0,438.0,528.0,455.0,551.0,455.0,483.0,410.0,500.0,500.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,590.0,343.0
596.0,371.0,551.0,348.0,-1.0,-1.0,618.0,388.0,618.0,461.0,590.0,523.0,590.0,483.0,523.0,478.0,500.0,506.0,590.0,365.0,568.0,455.0,528.0,461.0,551.0,455.0,483.0,416.0,500.0,506.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,573.0,343.0
590.0,371.0,545.0,365.0,-1.0,-1.0,613.0,388.0,618.0,478.0,573.0,528.0,590.0,483.0,506.0,483.0,568.0,528.0,573.0,371.0,551.0,438.0,523.0,455.0,551.0,461.0,483.0,416.0,483.0,500.0,-5.0,-5.0,545.0,348.0,-5.0,-5.0,568.0,343.0
573.0,371.0,523.0,365.0,-1.0,-1.0,590.0,388.0,596.0,461.0,573.0,528.0,573.0,500.0,506.0,478.0,-5.0,-5.0,568.0,371.0,545.0,438.0,523.0,438.0,573.0,478.0,478.0,416.0,500.0,506.0,-5.0,-5.0,523.0,348.0,-5.0,-5.0,545.0,343.0
568.0,371.0,506.0,365.0,-1.0,-1.0,568.0,388.0,573.0,461.0,573.0,528.0,573.0,500.0,483.0,461.0,545.0,528.0,568.0,365.0,551.0,433.0,-5.0,-5.0,590.0,478.0,478.0,416.0,483.0,500.0,-5.0,-5.0,500.0,348.0,-5.0,-5.0,523.0,343.0
551.0,371.0,483.0,371.0,-1.0,-1.0,551.0,388.0,568.0,478.0,573.0,528.0,573.0,500.0,523.0,461.0,573.0,545.0,551.0,348.0,523.0,410.0,506.0,416.0,590.0,483.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,483.0,365.0,-5.0,-5.0,506.0,348.0
551.0,371.0,483.0,371.0,-1.0,-1.0,545.0,388.0,568.0,461.0,573.0,528.0,573.0,500.0,500.0,433.0,483.0,523.0,568.0,348.0,-5.0,-5.0,-5.0,-5.0,596.0,483.0,500.0,416.0,483.0,506.0,-5.0,-5.0,483.0,365.0,-5.0,-5.0,500.0,348.0
568.0,371.0,500.0,371.0,-1.0,-1.0,551.0,388.0,568.0,478.0,573.0,528.0,573.0,500.0,500.0,438.0,478.0,523.0,573.0,348.0,-5.0,-5.0,-5.0,-5.0,596.0,483.0,506.0,416.0,483.0,506.0,-5.0,-5.0,500.0,365.0,-5.0,-5.0,523.0,348.0
590.0,371.0,523.0,365.0,-1.0,-1.0,568.0,388.0,590.0,478.0,573.0,528.0,573.0,500.0,483.0,461.0,478.0,523.0,596.0,365.0,-5.0,-5.0,-5.0,-5.0,613.0,500.0,506.0,433.0,483.0,506.0,-5.0,-5.0,523.0,348.0,-5.0,-5.0,545.0,343.0
596.0,388.0,545.0,365.0,-1.0,-1.0,590.0,388.0,613.0,483.0,573.0,545.0,573.0,500.0,500.0,438.0,483.0,523.0,613.0,371.0,573.0,433.0,551.0,438.0,573.0,478.0,500.0,433.0,483.0,506.0,-5.0,-5.0,545.0,348.0,-5.0,-5.0,568.0,343.0
613.0,388.0,568.0,365.0,-1.0,-1.0,613.0,388.0,-5.0,-5.0,-5.0,-5.0,573.0,500.0,500.0,478.0,483.0,523.0,618.0,371.0,568.0,455.0,551.0,455.0,573.0,478.0,500.0,416.0,483.0,506.0,-5.0,-5.0,568.0,348.0,-5.0,-5.0,573.0,343.0
635.0,388.0,573.0,348.0,-1.0,-1.0,618.0,393.0,618.0,500.0,568.0,528.0,590.0,483.0,500.0,478.0,483.0,523.0,641.0,388.0,573.0,455.0,568.0,438.0,596.0,478.0,506.0,416.0,500.0,506.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,596.0,343.0
635.0,388.0,590.0,365.0,-1.0,-1.0,618.0,393.0,613.0,483.0,551.0,528.0,596.0,500.0,523.0,416.0,483.0,500.0,658.0,371.0,-5.0,-5.0,-5.0,-5.0,618.0,500.0,523.0,410.0,523.0,500.0,-5.0,-5.0,590.0,343.0,-5.0,-5.0,613.0,343.0
